Env. Initial State,Org Initial State,Environment rule,Organism rule,Recurrence time,Attractor size,Env Attractor Size,Num unique states,Num. unique rules,Org State Recurrence,Org Rule Recurrence,Env Recurrence
99,2,74,58,28,24,24,5,25,28,27,24
27,7,74,58,31,24,24,8,25,31,30,24
92,10,30,78,57,40,40,3,56,57,56,55
206,10,30,78,57,40,40,4,57,57,56,56
197,15,30,78,56,40,40,2,56,56,55,55
87,0,30,78,47,40,40,2,47,47,46,46
77,15,30,78,52,40,40,2,52,52,51,51
46,12,30,78,56,40,40,11,56,56,55,55
150,4,30,78,57,40,40,7,55,57,56,54
1,2,45,78,17,2,2,10,17,17,16,16
146,5,45,78,25,24,24,3,24,25,24,24
22,3,45,78,21,16,16,6,17,21,20,16
27,10,110,78,20,16,16,3,20,20,19,19
60,14,110,78,27,16,16,8,23,27,26,22
22,13,110,78,18,16,16,3,18,18,17,17
10,3,110,78,24,16,16,8,24,24,23,23
9,11,110,78,25,16,16,10,21,18,24,20
205,11,62,78,26,16,16,6,17,21,25,16
6,8,62,78,32,16,16,12,19,32,31,18
212,9,62,78,24,16,16,7,21,19,23,20
103,14,62,78,21,16,16,6,17,21,20,16
25,4,122,78,16,6,6,10,9,16,15,8
63,3,41,78,18,8,8,9,10,18,17,9
216,4,57,78,16,8,8,8,10,16,15,9
